               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077056,            0.031358,            0.038629,             0.23222,             0.26526,             0.16833,             0.07022,            0.043175,            0.013536,            0.026348,              0.0704,           0.0032889,           0.0032889
                   1,            0.049761,            0.025196,            0.032631,             0.27542,              0.3751,             0.27967,             0.13738,            0.037259,           0.0090903,            0.023029,            0.040269,           0.0064911,           0.0064911
                   2,             0.04708,            0.021753,            0.026525,             0.29611,             0.42565,             0.38241,             0.22949,            0.032096,           0.0087905,            0.018553,            0.010006,           0.0095613,           0.0095613
                   3,            0.045859,            0.020771,            0.020897,             0.33082,              0.4322,             0.30822,             0.11489,            0.046178,            0.009167,            0.015246,            0.009406,            0.009406,            0.009406
                   4,            0.040713,            0.020494,            0.017414,             0.60831,             0.64861,             0.68029,             0.37074,            0.029341,            0.008353,            0.009226,            0.009406,            0.009406,            0.009406
                   5,            0.041508,            0.019839,            0.015702,              0.7677,             0.76215,             0.83116,             0.45172,             0.03256,           0.0070882,           0.0053082,            0.009208,            0.009208,            0.009208
                   6,            0.040019,            0.019454,            0.013688,             0.56197,             0.57306,             0.60761,              0.3171,            0.028186,           0.0092677,           0.0090215,             0.00901,             0.00901,             0.00901
                   7,            0.032652,            0.018159,            0.012643,             0.61301,             0.58733,             0.61007,             0.27709,            0.035487,           0.0094344,           0.0094445,            0.008812,            0.008812,            0.008812
                   8,            0.036995,            0.019047,            0.012032,             0.86141,             0.77734,             0.86466,             0.52262,            0.024284,           0.0073915,            0.004596,            0.008614,            0.008614,            0.008614
                   9,            0.034421,            0.018545,            0.010547,              0.7895,             0.67241,             0.77798,             0.44626,            0.030149,           0.0078104,            0.007985,            0.008416,            0.008416,            0.008416
                  10,            0.032383,            0.017658,            0.010162,             0.76868,             0.79114,             0.82494,             0.55334,            0.028101,           0.0063744,           0.0043077,            0.008218,            0.008218,            0.008218
                  11,            0.030552,            0.017616,            0.012087,             0.83068,             0.85817,             0.89241,              0.6256,            0.023872,           0.0062627,           0.0033965,             0.00802,             0.00802,             0.00802
                  12,            0.030574,             0.01777,            0.010635,             0.77634,             0.70345,              0.7895,             0.49392,            0.024904,           0.0082111,           0.0051348,            0.007822,            0.007822,            0.007822
                  13,            0.028865,             0.01669,             0.01056,             0.83834,              0.7542,             0.85228,             0.55408,            0.021524,           0.0075029,           0.0052433,            0.007624,            0.007624,            0.007624
                  14,            0.033573,            0.017479,            0.009909,             0.89045,             0.79755,             0.89397,             0.59913,            0.020541,           0.0069051,           0.0030182,            0.007426,            0.007426,            0.007426
                  15,            0.030424,            0.017542,           0.0096395,             0.89643,             0.82884,             0.91955,              0.6379,            0.023073,           0.0059676,           0.0044705,            0.007228,            0.007228,            0.007228
                  16,            0.029716,            0.017107,            0.010026,             0.86308,             0.82325,             0.88119,             0.64698,            0.021017,           0.0065995,           0.0032671,             0.00703,             0.00703,             0.00703
                  17,            0.029774,            0.016903,           0.0083623,             0.85317,             0.82757,              0.8894,             0.55082,             0.02174,           0.0071554,           0.0027101,            0.006832,            0.006832,            0.006832
                  18,            0.028874,            0.016672,           0.0080453,             0.82029,             0.89278,             0.89045,             0.62312,              0.0206,            0.006569,            0.002625,            0.006634,            0.006634,            0.006634
                  19,             0.02729,            0.016146,           0.0077349,             0.90109,              0.8773,             0.93589,             0.69848,            0.019603,            0.005796,           0.0026305,            0.006436,            0.006436,            0.006436
                  20,            0.029446,             0.01672,           0.0085211,             0.87416,              0.8557,             0.90733,             0.67253,            0.019499,           0.0062572,           0.0022843,            0.006238,            0.006238,            0.006238
                  21,            0.029161,            0.016086,           0.0083573,             0.87168,             0.77929,             0.86165,             0.59245,            0.019359,           0.0068707,           0.0041681,             0.00604,             0.00604,             0.00604
                  22,            0.028052,            0.016433,           0.0067876,             0.90408,             0.88294,             0.94097,             0.67644,            0.018658,           0.0057734,           0.0024569,            0.005842,            0.005842,            0.005842
                  23,             0.02651,            0.016242,            0.008494,             0.89007,              0.9005,             0.93062,             0.72038,             0.01671,           0.0055311,           0.0025207,            0.005644,            0.005644,            0.005644
                  24,            0.025682,            0.016183,           0.0072458,             0.92734,             0.85721,             0.93392,             0.70858,            0.016598,           0.0055664,           0.0015535,            0.005446,            0.005446,            0.005446
                  25,            0.027289,            0.015506,            0.006399,             0.91938,             0.86675,             0.92361,             0.71775,            0.016804,           0.0058991,           0.0021008,            0.005248,            0.005248,            0.005248
                  26,            0.024979,            0.016293,           0.0059927,              0.9369,             0.86998,             0.95476,              0.7323,            0.015979,           0.0052348,           0.0014517,             0.00505,             0.00505,             0.00505
                  27,            0.023888,            0.015316,            0.006471,             0.91574,              0.8515,             0.95096,             0.73644,             0.01564,           0.0052079,            0.001664,            0.004852,            0.004852,            0.004852
                  28,            0.023648,            0.014628,           0.0055496,             0.88562,             0.86622,             0.91427,             0.66636,            0.018065,           0.0062584,           0.0020278,            0.004654,            0.004654,            0.004654
                  29,            0.022334,            0.014683,           0.0077638,             0.89968,             0.90793,             0.94175,             0.70433,             0.01639,           0.0056318,           0.0017186,            0.004456,            0.004456,            0.004456
                  30,            0.023403,            0.014987,           0.0068395,             0.90968,             0.91545,             0.95714,             0.74751,            0.015814,           0.0052367,           0.0013892,            0.004258,            0.004258,            0.004258
                  31,            0.024034,            0.015148,           0.0056739,             0.92628,             0.90171,             0.95852,             0.75503,            0.016239,            0.005271,            0.001249,             0.00406,             0.00406,             0.00406
                  32,            0.025626,            0.015376,           0.0057925,              0.9165,             0.92797,             0.96106,             0.76234,            0.014266,           0.0050463,           0.0017663,            0.003862,            0.003862,            0.003862
                  33,            0.023112,            0.014872,           0.0065417,             0.92915,             0.92163,             0.95543,             0.74757,            0.014476,           0.0049585,           0.0016217,            0.003664,            0.003664,            0.003664
                  34,            0.020887,            0.014161,           0.0059139,             0.94359,             0.88886,             0.95173,             0.75608,            0.015118,           0.0051906,           0.0012101,            0.003466,            0.003466,            0.003466
                  35,            0.020912,            0.014338,           0.0060411,             0.92541,             0.93419,             0.96401,             0.77205,            0.014137,            0.004982,           0.0015065,            0.003268,            0.003268,            0.003268
                  36,            0.021105,            0.014481,           0.0056538,              0.9173,             0.90274,             0.95989,             0.77905,            0.013181,           0.0049172,           0.0013678,             0.00307,             0.00307,             0.00307
                  37,            0.019519,            0.014149,           0.0038209,             0.94234,             0.92229,             0.95892,             0.79051,             0.01369,           0.0049446,           0.0013115,            0.002872,            0.002872,            0.002872
                  38,            0.019067,            0.013889,           0.0042562,             0.93435,              0.9108,             0.96333,               0.784,             0.01462,               0.005,          0.00097892,            0.002674,            0.002674,            0.002674
                  39,            0.021452,            0.013726,           0.0041554,             0.91189,             0.93759,             0.95965,             0.77369,            0.014001,           0.0049794,           0.0010864,            0.002476,            0.002476,            0.002476
                  40,            0.019508,            0.013601,           0.0042496,             0.95199,             0.92835,             0.96764,              0.7923,             0.01363,           0.0046961,           0.0011539,            0.002278,            0.002278,            0.002278
                  41,            0.019496,            0.013959,             0.00363,             0.94638,             0.93494,             0.96724,             0.80566,            0.012783,           0.0045543,          0.00081321,             0.00208,             0.00208,             0.00208
                  42,            0.019883,            0.013506,           0.0042995,             0.93653,             0.93446,             0.96576,             0.80108,            0.013187,           0.0045853,          0.00081096,            0.001882,            0.001882,            0.001882
                  43,            0.018454,            0.013537,           0.0033352,              0.9344,             0.95376,             0.96848,             0.81291,            0.013261,           0.0045565,          0.00068578,            0.001684,            0.001684,            0.001684
                  44,            0.018623,            0.013225,           0.0037897,             0.94962,             0.93288,             0.96231,             0.79866,            0.013767,           0.0045873,          0.00092946,            0.001486,            0.001486,            0.001486
                  45,            0.017768,            0.013321,           0.0039467,             0.93802,             0.94372,             0.96297,             0.81139,            0.013075,           0.0045143,          0.00097434,            0.001288,            0.001288,            0.001288
                  46,             0.01719,            0.013251,           0.0041416,             0.93637,              0.9504,             0.96698,             0.81351,            0.012641,           0.0044805,           0.0010143,             0.00109,             0.00109,             0.00109
                  47,            0.017768,            0.012857,           0.0039699,             0.94009,             0.94332,             0.96391,             0.81348,            0.013339,           0.0045217,           0.0008193,            0.000892,            0.000892,            0.000892
                  48,             0.01802,            0.013355,             0.00337,              0.9455,             0.94258,             0.96684,             0.81519,            0.012732,            0.004587,          0.00092624,            0.000694,            0.000694,            0.000694
                  49,            0.017709,            0.013519,           0.0032111,             0.94059,              0.9476,             0.96616,             0.81456,            0.012659,           0.0044742,          0.00080409,            0.000496,            0.000496,            0.000496
